"","Population","Size.Variable","Soil.Metric","Slope","P.value","p_bonf_corrected","Significance.reg","Significance.bonf","p_holm_corrected","p_hoch_corrected","p_fdr_corrected","Significance.holm","Significance.hoch","Significance.fdr"
"46","LM","CA","Clay 100-200",-1.96208597991889,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"47","LM","CA","Silt 0-5",-4.42656417294023,0.006,1,"Y","N",1,0.994,0.0271232876712329,"N","N","Y"
"48","LM","CA","Silt 100-200",-3.56767395356428,0.026,1,"Y","N",1,0.994,0.075929203539823,"N","N","N"
"49","LM","CA","Sand 0-5",1.68928230635511,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"50","LM","CA","Sand 100-200",1.59260286180266,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"51","LM","CA","Ph 0-5",-0.259688256929956,0.958,1,"N","N",1,0.994,0.984891640866873,"N","N","N"
"52","LM","CA","Ph 100-200",16.0879464866596,0.05,1,"N","N",1,0.994,0.125,"N","N","N"
"53","LM","CA","Volume of water content -10 kpa 0-5",11.1286390487722,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"54","LM","CA","Volume of water content -10 kpa 100-200",-1.46010827235536,0.69,1,"N","N",1,0.994,0.813214285714286,"N","N","N"
"55","LM","CA","Volume of water content -33 kpa 0-5",-8.87623137374603,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"56","LM","CA","Volume of water content -33 kpa 100-200",-2.7604448084105,0.226,1,"N","N",1,0.994,0.367389162561576,"N","N","N"
"57","LM","CA","Volume of water content -1500 kpa 0-5",3.77892346388114,0.204,1,"N","N",1,0.994,0.343469387755102,"N","N","N"
"58","LM","CA","Volume of water content -1500 kpa 100-200",-4.81084640626938,0.042,1,"Y","N",1,0.994,0.109133858267717,"N","N","N"
"59","LM","CA","Nitrogen 0-5",3.91550647092493,0.072,1,"N","N",1,0.994,0.160540540540541,"N","N","N"
"60","LM","CA","Nitrogen 100-200",4.29137686147502,0.196,1,"N","N",1,0.994,0.33340206185567,"N","N","N"
"61","LM","CA","Soil Organic Carbon 0-5",-0.360089587546492,0.828,1,"N","N",1,0.994,0.913180327868853,"N","N","N"
"62","LM","CA","Soil Organic Carbon 100-200",-2.73377082255186,0.004,1,"Y","N",1,0.994,0.0212903225806452,"N","N","Y"
"63","LM","CA","Sand Available Water 0-5",-6.8203142365203,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"64","LM","CA","Sand Available Water 100-200",1.41351372695613,0.406,1,"N","N",1,0.994,0.570127659574468,"N","N","N"
"65","LM","CA","Clay/Loam Available Water 0-5",4.46651497956605,0.072,1,"N","N",1,0.994,0.160540540540541,"N","N","N"
"66","LM","CA","Clay/Loam Available Water 100-200",2.69549463835714,0.126,1,"N","N",1,0.994,0.234915254237288,"N","N","N"
"67","LM","CS","Clay 0-5",-0.0931721155511032,0.002,0.66,"Y","N",0.572,0.548,0.0115789473684211,"N","N","Y"
"68","LM","CS","Clay 100-200",-0.0980001293197581,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"69","LM","CS","Silt 0-5",-0.220535110115822,0.016,1,"Y","N",1,0.994,0.0528,"N","N","N"
"70","LM","CS","Silt 100-200",-0.190775012200891,0.048,1,"Y","N",1,0.994,0.121846153846154,"N","N","N"
